Source,Band,Date,Magnitude ,Magnitude_err,Magnitude_upplim,Corrected_nH,Literature NIR,Telescope,nH,nH_heasarc,nH_lit,d,d_errup,d_errlow,d_literature,X-ray flux,X-ray_low,X-ray_high,X-ray luminosity,Literature X-ray,CO,State,Transient/persistent,CO_lit
4U_1556-60,J,13-5-2011,17.83,0.06,,TRUE,Revnivtsev+2013,IRSF,,,,,,,,,,,,,,,,
4U_1556-60,H,13-5-2011,17.52,0.08,,TRUE,Revnivtsev+2013,IRSF,,,,,,,,,,,,,,,,
4U_1556-60,K,13-5-2011,17.4,0.14,,TRUE,Revnivtsev+2013,IRSF,,,,,,,,,,,,,,,,
4U_1708-40,J,13-5-2011,18.84,0.18,,TRUE,Revnivtsev+2013,IRSF,3.00E+22,1.01E+22,Migliari+2003,12.5,2.5,2.5,Revnivtsev+2013,8.70E-10,,,,iopscience,NS,,,Revnivtsev+2013
4U_1708-40,H,13-5-2011,17.29,0.09,,TRUE,Revnivtsev+2013,IRSF,3.00E+22,1.01E+22,Migliari+2003,12.5,2.5,2.5,Revnivtsev+2013,8.70E-10,,,,iopscience,NS,,,Revnivtsev+2013
4U_1708-40,K,13-5-2011,16.67,0.09,,TRUE,Revnivtsev+2013,IRSF,3.00E+22,1.01E+22,Migliari+2003,12.5,2.5,2.5,Revnivtsev+2013,8.70E-10,,,,iopscience,NS,,,Revnivtsev+2013
AXJ_165901-4208,J,13-5-2011,18.33,0.06,,TRUE,Revnivtsev+2013,IRSF,,,,,,,,,,,,,,,,
AXJ_165901-4208,H,13-5-2011,16.05,0.03,,TRUE,Revnivtsev+2013,IRSF,,,,,,,,,,,,,,,,
AXJ_165901-4208,K,13-5-2011,14.91,0.04,,TRUE,Revnivtsev+2013,IRSF,,,,,,,,,,,,,,,,
IGR_J16287-5021,J,13-5-2011,16.84,0.04,,TRUE,Revnivtsev+2013,IRSF,2.60E+22,1.21E+22,Rodriquez+2008,3,1,1,Revnivtsev+2013,7.00E-12,,,,Tomsick+2008,unknown,hard,,Tomsick+2008
IGR_J16287-5021,H,13-5-2011,16.25,0.1,,TRUE,Revnivtsev+2013,IRSF,2.60E+22,1.21E+22,Rodriquez+2008,3,1,1,Revnivtsev+2013,7.00E-12,,,,Tomsick+2008,unknown,hard,,Tomsick+2008
IGR_J16287-5021,K,13-5-2011,15.94,0.09,,TRUE,Revnivtsev+2013,IRSF,2.60E+22,1.21E+22,Rodriquez+2008,3,1,1,Revnivtsev+2013,7.00E-12,,,,Tomsick+2008,unknown,hard,,Tomsick+2008
IGR_J17350-2045,J,13-5-2011,15.35,0.06,,TRUE,Revnivtsev+2013,IRSF,,,,,,,,,,,,,,,,
IGR_J17350-2045,H,13-5-2011,14.4,0.1,,TRUE,Revnivtsev+2013,IRSF,,,,,,,,,,,,,,,,
