Source,Porb (h),Reference,link,,,,Note
EXO_0748-676,3.82,Mancuso2019,https://academic.oup.com/mnrasl/article/486/1/L74/5487900,,,,
XSS_J12270-4859,4.3,Falanga2010,https://pos.sissa.it/115/054/pdf,,,,
IGR_J1706.2-6143,1,Eijnden2018,https://watermark.silverchair.com/stx3224.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAA2gwggNkBgkqhkiG9w0BBwagggNVMIIDUQIBADCCA0oGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMbFflCNOC6h0c09BlAgEQgIIDG0eCx5zD0VFQswgYFNk5015nwUYaPk_t1SZZhAJu38KlYaulP3yS3M_w04ctC_ue5pfPLuweoJHKHBXCe6MK5ABmt1t5v7Gi0taZ3RFviK5QVI415GS3TgRs3l7MZkpIOMlCqOZg_V9FndHpTDKtHlGjHtLbL6pR1VrIOH0Y-SJEppeq60NgXO5rjEYfIWtQcN8rWJbe8Jo5PTjb_5KYcZ9RZZ3kXlehlF2eSrDQumpR43TWmLz7Gh5O8cgqnlQqZURWBwK_NilAjDefnFPkLwcWJbqlZXg2BInYFJ52wiFfmwiDcQxGeOtS3nMHIJOcvsiw2G-jUkNqCtI3-ecWHEoDvhosuB8czi2TuZFAM3fWTE5qA_s0ySHAC5FrIIYoRpmjJ966ynicPG_UPijozcUDCKvRtiJyPm_m4tteqiABRkt1RRW1uSVZ7JN3-mfanHeKVoTQMPshPO6Dme_YTBM0Lmsix-Qu47HQBqV-HKpCF46FWJ0KunGrhAjyxVH2mKr6iqyrkNgPij0VgznuhkpgTGDktlcCOqm5fLJOgedWLxLIW6wqmAcyvpesw0fInc4opryqccNldhLZE8KZfCpv5AZ0zSauSQhk5-eYyUidSSKMVCSPr9q1Dhp9hiuLCT1GGM8Op0ilt52b7JRFad4rrHL4tL_YNMQgNb1uDQ20Dp5-qG7y7QZ8UVVKZIV_9DRBAyA129sYZ0_xrzKFSFbDpRJJS5TcSR0-B799rhD63NaEWqUnCKWPF-WfQ9WHgXn47DsfIDkDJCnOb0AcMBY8WhOuecN6kiWlaQBH0dWd2rzkZvsww6fUB1J5KP_44CRBxSdWRkvgcmrHWZaHiKaGrRko7_Wl-IAeCi-bd_OAwYytUrhW2ci6H3JGgMR86DXhk0kzjZWpskaLjdkGzIVhHqhJ55i2FLeVHykV7I7XX8xzlkxd5wkqmLSifMIyT63qGHVhCG8wS_KkvseYHpxHuGVLl_2uRRVgvpHJMou_m9B1_5qNn_tTHuzI64uhiNivK49NXjjgx2BkD4Jlyf2wyzM1PgoP7oqopg,,,,0.6-1.3h
RX_J1735.3-3540,7.4,(Shaw et al. in prep),,,,,dagen??
MXB_1659-28,7.1,Iaria2017,https://academic.oup.com/mnras/article/473/3/3490/4628110,,,,
2S_0918-549,0.29,zhong2011,https://iopscience.iop.org/article/10.1088/0004-637X/729/1/8/meta,,,,17.4 min
4U_1323-619,2.941923,Gambino,https://www.aanda.org/articles/aa/abs/2016/05/aa27512-15/aa27512-15.html,,,,
4U_1626-67,0.7,Chakrabarty,https://iopscience.iop.org/article/10.1086/323877/meta,,,,
XTE_J1710-281,3.264,Jain2011,https://academic.oup.com/mnras/article/413/1/2/1059194,,,,
UW_Crb,1.8496,Mason2008,https://iopscience.iop.org/article/10.1086/590381/meta,,,,
GX_9+9,4.1958,Kong2006,https://academic.oup.com/mnras/article/368/2/781/985136,,,,
4U_1822-00,5.57,Jain2010,https://academic.oup.com/mnras/article/409/2/755/1039057,,,,
GS_1826-24,2.2494,Meshcheryakov2010,https://link.springer.com/article/10.1134/S106377371010004X,,,,
4U_1915-05,0.83333,Simon2005,https://www.aanda.org/articles/aa/pdf/2005/22/aa1896-04.pdf,,,,
