Source,Literature position (J2000),Distance,Filter/Obs,Problems?,Mag u018918,Err Mag u018918,Mag Taurus ,Err Mag Taurus,SExtractor flag,"90% astrometric error ("")",Zp error (mag),,Time,Notes Nathalie
Sources observed in night of 2014-05-07,,,,,,,,,,,,,,
EXO_0748-676,07 48 33.71 -67 45 07.7 (0.2 arcsec),,J/2836,,20.905659,0.09417507,20.905659,0.09417507,,,,,2014-05-08 0:42:36,NS transient that was in quiescence during our observations
,https://ui.adsabs.harvard.edu/abs/2003AJ....125..984M,,H/2827,(images are now the same: u018918 changed values w.r.t. last time),20.021292,0.100277275,20.021292,0.100277275,,,,,2014-05-08 0:29:35,"quiescent OIR counterpart is known, but we were interested in detecting potential variability for the accretion disk building up in quiescence"
,,,Ks/2818,,19.911205,0.15914378,19.911205,0.15914378,,,,,2014-05-08 0:15:46,this is a relevant paper: https://iopscience.iop.org/article/10.1088/0004-637X/697/1/L14/meta
MAXI_J0556-332,05 56 46.32 -33 10 28.2,,J/2789,Distortion failed,,,,,,,,,2014-05-07 23:32:39,(very) bright NS transient that was in quiescence during our observations; nIR quiescent counterpart not reported yet
,https://ui.adsabs.harvard.edu/abs/2011ATel.3103....1K,,J/2791,Elongated sources on both Taurus and u018918 (was only Taurus before),19.478037,0.041572805,,,,,,,2014-05-07 23:34:08,this is the relevant paper: https://iopscience.iop.org/article/10.1088/0004-637X/697/1/L14/meta
,,,H/2800,Stuck on Taurus and u018918,?19.272583,?0.06301315,,,,,,,2014-05-07 23:46:39,
,,,Ks/2809,(images are now the same),19.04228,0.07614971,19.04228,0.07614971,,,,,2014-05-07 23:58:41,
XSS_J12270-4859,12 27 58.7475950389 -48 53 42.826034125,,J/2845,Syst. astrometric offset on both Taurus and u018918 (before only on Taurus and different images: u018918 changed values),17.166628,0.012503633,17.166628,0.012503633,,,,,2014-05-08 0:58:47,"source shows factor ~10 X-ray variability on years timescales, so nIR magnitudes could be a bit different than from the literature"
,https://ui.adsabs.harvard.edu/abs/2018yCat.1345....0G,,H/2854,(now okay; before stuck on u018918 & Syst. magnitude offset Taurus),16.570377,0.012664714,16.570377,0.012664714,,,,,2014-05-08 1:06:26,
,,,Ks/2863,No mef.cat files,,,,,,,,,2014-05-08 1:15:32,
,,,Ks/2864,(now okay; before different images & Syst. magnitude offset u018918 & Syst. astrometric offset Taurus),16.448586,0.01703421,16.448586,0.01703421,,,,,2014-05-08 1:16:02,
IGR_J1706.2-6143,17 06 16.2874822889 -61 42 40.568398724,,J/2982,This needs psf acccording to juans paper,19.602876,0.08768447,19.602876,0.08768447,,0.3,,,2014-05-08 5:11:26,"persistent source, Juan's paper report on these Magellan/FourSTAR data"
,https://ui.adsabs.harvard.edu/abs/2018yCat.1345....0G,,J/2991,Stuck on Taurus and u018918,,,,,,,,,2014-05-08 5:13:35,(no radio counterpart)
,,,J/3000,Different images,19.470644,0.043191966,19.457405,0.043199487,,0.3,,,2014-05-08 5:36:11,see Juan's paper for the counterpart and finding chart: https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.4596H/abstract
,,,H/3009,,19.113211,0.053608302,19.113211,0.053608302,,0.3,,,2014-05-08 5:42:05,
,,,H/3018,,19.351776,0.09698766,19.351776,0.09698766,,0.3,,,2014-05-08 5:47:17,
,,,Ks/3027,Different images,19.014813,0.14104328,19.13136,0.1490796,,0.3,,,2014-05-08 5:54:12,
,,,Ks/3036,Different images,18.751023,0.10752729,18.810918,0.11006885,,0.3,,,2014-05-08 5:56:24,
RX_J1735.3-3540,17 35 23.75 -35 40 16.1 (0.56 arcsec),,J/3081,,15.239991,0.0065879184,15.239991,0.0065879184,,0.4,,,2014-05-08 6:21:23,"persistent source, expect somewhat similar nIR magntiudes as in my 2010 paper"
,https://ui.adsabs.harvard.edu/abs/2008ATel.1528....1I,,J/3090,Different images,15.281934,0.0069119334,15.263882,0.0069230725,,0.4,,,2014-05-08 6:23:47,(no radio counterpart)
,,,H/3063,,14.168526,0.005020459,14.168526,0.005020459,,0.4,,,2014-05-08 6:16:15,"see indeed my paper for the position, finding chart and previous nIR magnitudes: https://ui.adsabs.harvard.edu/abs/2010MNRAS.404.1591D"
,,,H/3072,,13.998556,0.0050091133,13.998556,0.0050091133,,0.5,,,2014-05-08 6:18:16,
,,,Ks/3045,,13.597254,0.005271042,13.597254,0.005271042,,0.6,,,2014-05-08 6:07:19,
,,,Ks/3054,,13.7172,0.005404328,13.7172,0.005404328,,0.5,,,2014-05-08 6:09:48,
XMMU_J174716.1-281048,C1: 17 47 16.20 -28 10 47.62 (0.03 arcsec) (in our images: 17 47 16.12 -28 10 46.7),,J/3099,Fsub error on Taurus and u018918,C1:  ; C2:,C1:  ; C2:,C1:  ; C2:,C1:  ; C2:,,,,,2014-05-08 6:29:57,"very faint, very absorbed source; was likely in quiescence during our observations while it was in outburst during the Kaur+ paper"
(Data calibrated),C2: 17 47 16.16 -28 10 48.72 (0.03 arcsec) (in our images: 17 47 16.09 -28 10 47.8),,J/3108,,C1:18.119194 ; C2: 19.351796,C1: 0.028680729 ; C2: 0.060280107,C1: 18.119194 ; C2: 19.351796,C1: 0.028680729 ; C2: 0.060280107,,0.8,0.13,,2014-05-08 6:33:18,Check if one of the potential candidates in the Kaur paper has a very different magnitude in our data (which would be expected if it was indeed in different states)
,https://ui.adsabs.harvard.edu/abs/2017MNRAS.464..170K,,H/3117,Different images,C1: 14.346564 ; C2: 15.669441,C1: 0.009585986 ; C2: 0.015617744,C1: 14.350934 ; C2: 15.678965,C1: 0.009499211 ; C2: 0.015528312,,1.1,0.14,,2014-05-08 6:37:45,(no radio counterpart)
,,,H/3126,,C1: 14.590176 ; C2: 15.874569,C1: 0.010645062 ; C2: 0.01743095,C1: 14.590176 ; C2: 15.874569,C1: 0.010645062 ; C2: 0.01743095,,0.9,0.15,,2014-05-08 6:41:37,
,,,Ks/3135,,C1: 13.272769 ; C2: 14.210149,C1: 0.0076530697 ; C2: 0.014185478,C1: 13.272769 ; C2: 14.210149,C1: 0.0076530697 ; C2: 0.014185478,,1,0.13,,2014-05-08 6:47:51,
,,,Ks/3144,,C1: 13.085158 ; C2: 14.026503,C1: 0.0074934065 ; C2: 0.0156242,C1: 13.085158; C2: 14.026503,C1: 0.0074934065; C2: 0.0156242,,1,0.16,,2014-05-08 6:49:57,
IGR_J17494-3030,17 49 23.62 -30 29 59.0 https://ui.adsabs.harvard.edu/abs/2020ATel14146....1C,,Ks/3153,Fsub error on Taurus and u018918,,,,,,,,,2014-05-08 7:03:12,I don't think there are optical or nIR counterparts known for this source. It's a NS transient that was in quiescence during our observations
,17 49 23.61 -30 29 59.1 https://ui.adsabs.harvard.edu/abs/2020ATel14129....1V,,Ks/3162,too faint,,,,,,,,,2014-05-08 7:05:33,It's very faint + pretty absorbed so I consider it very unlikely that the Gaia entry is this source
,,,Ks/3171,Fsub error on Taurus and u018918,,,,,,,,,2014-05-08 7:51:39,
SAX_J1818.7+1424,18 18 44.0 +14 24 12 https://www.aanda.org/articles/aa/pdf/2002/36/aah3274.pdf,,H/3180,,,,,,,,,,2014-05-08 8:42:27,Burst-only source with large positional error during outburst because it was only detected with an old X-ray satellite. 
,18 18 35.6  +14 22 32 (unknown),,H/3189,,,,,,,,,,2014-05-08 8:44:36,Observations with Chandra revealed several possible queiscent X-ray counterparts : https://ui.adsabs.harvard.edu/abs/2002A%26A...392..931C/abstract
,,,H/3198,,,,,,,,,,2014-05-08 9:13:34,Check for all of the possible counterparts if these have nIR counterparts in our data (this can help identify which can be the LMXB)
,,,,,,,,,,,,,,
Sources observed in night of 2013-06-16,,,,"Due to automatic running, reasons of errors are often not verified from here on",,,,,,,,,,
Swift_J1357.2-0933,13 57 16.8357614768 -09 32 38.793867836,,Ks/0050,No mef.cat files,,,,,,,,,2013-06-16 23:21:57,transient BH that was in quiescence during our observations
,https://ui.adsabs.harvard.edu/abs/2018yCat.1345....0G,,Ks/0051,,18.432451,0.13484804,18.432451,0.13484804,,,,,2013-06-16 23:24:22,this paper reports on quiescent nIR observations: https://ui.adsabs.harvard.edu/abs/2016MNRAS.456.2707P/abstract
,see notes in last column,,Ks/0080,,18.425894,0.26172763,18.425894,0.26172763,,,,,2013-06-17 1:31:41,"it's likely still accreting in quiescence, so we might expect some nIR variability"
