,Source,Filter,Obs_number,Detected Name,Date obs,RA,DEC,Error_circle (arcsec),Position_source,nH,Mag_raw,Mag_err,Upper_limit,zp_offset,SExtractor_Flag,Astrometric_err,An_extinction,An_extinction_err,Mag_corr,Mag_err_corr,Flux (erg/s/cm2),Flux_err,F_NIR_upplim,Distance (kpc),D_errup,D_errlow,Distance_source,L_NIR,L_NIR_errup,L_NIR_errlow,L_NIR_upplim,Xray_Flux (erg/s/cm2),Xray_errup,Xray_errlow,Xray_upplim,Xray_Flux_source,L_X,L_X_errup,L_X_errlow,L_X_upplim,Comments,,L_NIR_errup_nodist,L_NIR_errlow_nodist,L_NIR_errup_noflux,L_NIR_errlow_noflux,L_X_errup_nodist,L_X_errlow_nodist,L_X_errup_noflux,L_X_errlow_noflux
0,RX_J1735.3-3540,J,3081,S,2014-05-07,17 35 23.75,-35 40 16.1,0.56,"Israel+2008, UVOT",5.76e+21,15.005684,0.0065879184,,-0.2332312953,3.0,0.165407785,0.9074413408,0.01520851409,14.3314741,0.01687038154,2.895e-12,2.538523192724463e-14,,9.5,,,Degenaar+2010,3.126127832408565e+34,,,,2e-11,5e-12,5e-12,,Thesis Bilal 2018,2.1596738047727563e+35,,,,,2.895e-12,2.7411910210675632e+32,2.7411910210675632e+32,,,5.399184511931891e+34,5.399184511931891e+34,,
2,RX_J1735.3-3540,H,3063,S,2014-05-07,17 35 23.75,-35 40 16.1,0.56,"Israel+2008, UVOT",5.76e+21,11.520804,0.005020459,,-2.642213306,3.0,0.2269178702,0.5631284916,0.009437907681,13.59988878,0.01151984938,4.595e-12,3.013187680845652e-14,,9.5,,,Degenaar+2010,4.961850566465408e+34,,,,2e-11,5e-12,5e-12,,Thesis Bilal 2018,2.1596738047727563e+35,,,,Initially very large magnitude offset but seems okay after magnitude calibration,4.595e-12,3.253751251593164e+32,3.253751251593164e+32,,,5.399184511931891e+34,5.399184511931891e+34,,
4,RX_J1735.3-3540,Ks,3045,S,2014-05-07,17 35 23.75,-35 40 16.1,0.56,"Israel+2008, UVOT",5.76e+21,12.577108,0.005271042,,-1.016910098,3.0,0.2142712848,0.3604022346,0.006040260916,13.2336167,0.00975892102,3.655e-12,2.5407282420597445e-14,,9.5,,,Degenaar+2010,3.9468038782222124e+34,,,,2e-11,5e-12,5e-12,,Thesis Bilal 2018,2.1596738047727563e+35,,,,Initially large magnitude offset but seems okay after magnitude calibration,3.655e-12,2.7435721147113825e+32,2.7435721147113825e+32,,,5.399184511931891e+34,5.399184511931891e+34,,
6,UW_Crb,Ks,1081,S,2018-06-19,16 05 45.8746697208,25 51 45.246497976,0.1,"Gaia Collaboration 2020, Gaia",4.2e+20,19.13562,0.12863089,,0.01200971669,0.0,0.3165047671,0.02627932961,0.0004404356918,19.09733021,0.1298499879,1.74e-14,2.06e-15,,,,,,,,,,1.2e-11,,,,Jonker+2003,,,,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~4 GDR sources,1.74e-14,,,,,,,,
7,UW_Crb,H,1086,S,2018-06-19,16 05 45.8746697208,25 51 45.246497976,0.1,"Gaia Collaboration 2020, Gaia",4.2e+20,19.830853,0.09587682,,-0.0009202942551,0.0,0.4138715746,0.04106145251,0.0006881807684,19.7907104,0.09637936362,1.42e-14,1.25e-15,,,,,,,,,,1.2e-11,,,,Jonker+2003,,,,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~4 GDR sources,1.42e-14,,,,,,,,
8,UW_Crb,J,1091,S,2018-06-19,16 05 45.8746697208,25 51 45.246497976,0.1,"Gaia Collaboration 2020, Gaia",4.2e+20,19.893389,0.062430993,,-0.0234973225,0.0,0.3517414173,0.06616759777,0.001108954152,19.85071778,0.06306966683,1.83e-14,1.05e-15,,,,,,,,,,1.2e-11,,,,Jonker+2003,,,,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~4 GDR sources,1.83e-14,,,,,,,,
9,4U_1822-00,Ks,1170,S,2018-06-19,18 25 22.020,-00 00 43.00,0.6,"Juett&Chakrabarty 2005, Chandra",3.36e+21,18.173767,0.045503363,,-0.04249080554,0.0,0.06444338825,0.2102346369,0.003523485534,18.00602246,0.04598160065,4.76e-14,1.99e-15,,6.3,2.0,2.0,Shahbaz+2007,2.2604713449440998e+32,1.0192442694277066e+32,1.0192442694277066e+32,,,,,,Asai+2022,1.8e+36,,,,,4.76e-14,9.45028986646798e+30,9.45028986646798e+30,1.0148537248811736e+32,1.0148537248811736e+32,,,,
10,4U_1822-00,H,1175,S,2018-06-19,18 25 22.020,-00 00 43.00,0.6,"Juett&Chakrabarty 2005, Chandra",3.36e+21,18.651814,0.03230782,,-0.0474167842,0.0,0.0948781153,0.3284916201,0.005505446147,18.37073857,0.03302792282,5.25e-14,1.56e-15,,6.3,2.0,2.0,Shahbaz+2007,2.493166924570698e+32,1.1217728704600186e+32,1.1217728704600186e+32,,,,,,Asai+2022,1.8e+36,,,,,5.25e-14,7.408267433010074e+30,7.408267433010074e+30,1.1193239612660001e+32,1.1193239612660001e+32,,,,
11,4U_1822-00,J,1180,S,2018-06-19,18 25 22.020,-00 00 43.00,0.6,"Juett&Chakrabarty 2005, Chandra",3.36e+21,19.410662,0.037624422,,-0.03046061547,0.0,0.1085585528,0.5293407821,0.00887163322,18.91178127,0.03875201065,4.35e-14,1.51e-15,,6.3,2.0,2.0,Shahbaz+2007,2.0657668803585784e+32,9.302079080944951e+31,9.302079080944951e+31,,,,,,Asai+2022,1.8e+36,,,,,4.35e-14,7.170822964003342e+30,7.170822964003342e+30,9.274398536204e+31,9.274398536204e+31,,,,
12,XTE_J1719-291,Ks,704,,2013-06-18,17 19 17.18,-29 04 10.0,0.2,"Greiner+2008, Chandra",3.01e+21,,,18.50807784,-0.09501998114,,0.3464991893,0.1883351955,0.003156455791,,,,0.0,2.9945610785469664e-14,8.0,,,,,,,2.293105859059922e+32,,,,1.1e-13,Padilla+2011,,,,8.4233260862051e+32,"Distortion does not look amazing, see finding chart, but we do have the other Ks observation which looks good. & astrometric offset",,,,,,,,,
13,XTE_J1719-291,H,714,,2013-06-18,17 19 17.18,-29 04 10.0,0.2,"Greiner+2008, Chandra",3.01e+21,,,18.76324426,-0.06050480177,,0.3220576645,0.294273743,0.004931962173,,,,0.0,3.6604005123412084e-14,8.0,,,,,,,2.8029770110511102e+32,,,,1.1e-13,Padilla+2011,,,,8.4233260862051e+32,Astrometric offset,,,,,,,,,
14,2S_0918-549,J,3126,S,2018-11-13,09 20 26.4818170056,-55 12 24.512806404,0.1,"Gaia Collaboration 2020, Gaia",5.29e+21,15.759552,0.018297242,,-0.02316887179,1.0,0.4282440115,0.833396648,0.01396754159,14.94932392,0.02325132205,1.8400000000000002e-12,3.072588485300301e-14,,5.4,,,in 't Zand+2005,6.419723113063679e+33,,,,3.64e-10,2.3e-12,2.3e-12,,Build swift XRT products,1.2699887028017275e+36,,,,,1.8400000000000002e-12,1.072019962826938e+32,1.072019962826938e+32,,,8.024653891329597e+33,8.024653891329597e+33,,
16,2S_0918-549,H,3133,S,2018-11-13,09 20 26.4818170056,-55 12 24.512806404,0.3,"Gaia Collaboration 2020, Gaia",5.29e+21,15.088455,0.008751974,,-0.04129475527,0.0,0.2353456654,0.5171787709,0.00866780063,14.61257148,0.01271443066,1.67e-12,1.35e-14,,5.4,,,in 't Zand+2005,5.826596521095838e+33,,,,3.64e-10,2.3e-12,2.3e-12,,Build swift XRT products,1.2699887028017275e+36,,,,Astronomy not great so used error circle of 0.3 instead of 0.1 to include source,1.67e-12,4.7101229362151985e+31,4.7101229362151985e+31,,,8.024653891329597e+33,8.024653891329597e+33,,
17,2S_0918-549,Ks,3138,S,2018-11-13,09 20 26.4818170056,-55 12 24.512806404,0.1,"Gaia Collaboration 2020, Gaia",5.29e+21,15.0787,0.010139113,,-0.02830918406,2.0,0.2816641399,0.3309944134,0.005547392403,14.77601452,0.01227089855,9.31e-13,8.7e-15,,5.4,,,in 't Zand+2005,3.248240336012111e+33,,,,3.64e-10,2.3e-12,2.3e-12,,Build swift XRT products,1.2699887028017275e+36,,,,,9.31e-13,3.0354125588942393e+31,3.0354125588942393e+31,,,8.024653891329597e+33,8.024653891329597e+33,,
18,EXO_0748-676,J,2836,S,2014-05-08,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97e+20,20.905659,0.09417507,,-0.01983599945,0.0,0.2705484687,0.1413150838,0.002368409226,20.78418006,0.0944081974,7.75e-15,6.73e-16,,7.4,0.9,0.9,Galloway+2008,5.077805905858781e+31,9.783786863106515e+30,9.783786863106515e+30,,5e-13,1.5e-13,1.5e-13,,Thesis Bilal 2018,3.276003810231472e+33,1.1328705273736467e+33,1.1328705273736467e+33,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources,7.75e-15,4.409501128571561e+30,4.409501128571561e+30,8.733772677361241e+30,8.733772677361241e+30,9.828011430694414e+32,9.828011430694414e+32,5.634692049910478e+32,5.634692049910478e+32
19,EXO_0748-676,H,2827,S,2014-05-08,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97e+20,20.021292,0.100277275,,0.01104126314,0.0,0.3053883816,0.08769553073,0.001469757498,19.92255456,0.1009094598,1.26e-14,1.16e-15,,7.4,0.9,0.9,Galloway+2008,8.255529601783308e+31,1.6105546852930722e+31,1.6105546852930722e+31,,5e-13,1.5e-13,1.5e-13,,Thesis Bilal 2018,3.276003810231472e+33,1.1328705273736467e+33,1.1328705273736467e+33,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources,1.26e-14,7.600328839737012e+30,7.600328839737012e+30,1.4199423965774403e+31,1.4199423965774403e+31,9.828011430694414e+32,9.828011430694414e+32,5.634692049910478e+32,5.634692049910478e+32
20,EXO_0748-676,Ks,2818,S,2014-05-08,07 48 33.70944,-67 45 07.722,0.3,"Monet+2003, PMM",8.97e+20,19.911205,0.15914378,,0.01776262676,0.0,0.3163508295,0.05612513966,0.0009406447989,19.83731701,0.1600279965,8.8e-15,1.29e-15,,7.4,0.9,0.9,Galloway+2008,5.76576670600739e+31,1.3030190406590981e+31,1.3030190406590981e+31,,5e-13,1.5e-13,1.5e-13,,Thesis Bilal 2018,3.276003810231472e+33,1.1328705273736467e+33,1.1328705273736467e+33,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources & used error circle of 0.3 instead of 0.1 to include source,8.8e-15,8.452089830397197e+30,8.452089830397197e+30,9.91705800784244e+30,9.91705800784244e+30,9.828011430694414e+32,9.828011430694414e+32,5.634692049910478e+32,5.634692049910478e+32
21,EXO_0748-676,J,3080,,2018-11-13,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97e+20,,,21.732403,-0.02857053304,,0.1736509813,0.1413150838,0.002368409226,,,,0.0,3.2377630581811102e-15,7.4,0.9,0.9,Galloway+2008,,,,2.121384823045604e+31,5e-13,1.5e-13,1.5e-13,,Thesis Bilal 2018,3.276003810231472e+33,1.1328705273736467e+33,1.1328705273736467e+33,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources,,,,,,9.828011430694414e+32,9.828011430694414e+32,5.634692049910478e+32,5.634692049910478e+32
22,EXO_0748-676,H,3090,,2018-11-13,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97e+20,,,20.82067544,-0.02439547922,,0.233676069,0.08769553073,0.001469757498,,,,0.0,5.5024503876567084e-15,7.4,0.9,0.9,Galloway+2008,,,,3.605209687114603e+31,5e-13,1.5e-13,1.5e-13,,Thesis Bilal 2018,3.276003810231472e+33,1.1328705273736467e+33,1.1328705273736467e+33,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources,,,,,,9.828011430694414e+32,9.828011430694414e+32,5.634692049910478e+32,5.634692049910478e+32
23,EXO_0748-676,Ks,3095,,2018-11-13,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97e+20,,,20.4732919,-0.01198651696,,0.1964168965,0.05612513966,0.0009406447989,,,,0.0,4.900580770961312e-15,7.4,0.9,0.9,Galloway+2008,,,,3.210864255603268e+31,5e-13,1.5e-13,1.5e-13,,Thesis Bilal 2018,3.276003810231472e+33,1.1328705273736467e+33,1.1328705273736467e+33,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources,,,,,,9.828011430694414e+32,9.828011430694414e+32,5.634692049910478e+32,5.634692049910478e+32
24,XSS_J12270-4859,J,2845,S,2014-05-08,12 27 58.7476831466,-48 53 42.824592947,0.1,"Gaia Collaboration 2020, Gaia",1.07e+21,17.166628,0.012503633,,0.02348801294,3.0,0.3376464014,0.1685698324,0.002825192722,16.97457096,0.01671835432,2.59e-13,2.98e-15,,1.37,0.69,0.15,de Martino+2020,5.816367683778939e+31,4.143353902367761e+31,9.030945794256821e+30,,3e-13,2e-13,2e-13,,Thesis Bilal 2018,6.73710542522657e+31,6.572633712194075e+31,4.610957586484322e+31,,,2.59e-13,6.692191389058394e+29,6.692191389058394e+29,4.142813418162515e+31,9.00611612644025e+30,4.491403616817714e+31,4.491403616817714e+31,4.798625580883222e+31,1.043179474105048e+31
25,XSS_J12270-4859,H,2854,S,2014-05-08,12 27 58.7476831466,-48 53 42.824592947,0.1,"Gaia Collaboration 2020, Gaia",1.07e+21,16.570377,0.012664714,,-0.03862531407,2.0,0.1416770626,0.1046089385,0.001753222434,16.50439413,0.01604450499,2.93e-13,3.42e-15,,1.37,0.69,0.15,de Martino+2020,6.579906298637951e+31,4.68728691628827e+31,1.0217293350510581e+31,,3e-13,2e-13,2e-13,,Thesis Bilal 2018,6.73710542522657e+31,6.572633712194075e+31,4.610957586484322e+31,,,2.93e-13,7.680300184758291e+29,7.680300184758291e+29,4.6866576506626135e+31,1.0188386197092636e+31,4.491403616817714e+31,4.491403616817714e+31,4.798625580883222e+31,1.043179474105048e+31
